path	original_sha256	location	disposition	preservation_rule
phase-1-repository-intent-audit-derived-packet	000BA6BE7DE6227FF850F61EE2DB35E3F72AB49DECAC670893F774ECB3E8CC38	CONTENT_ADDRESS_RECORDED_IN_DOCS_ADR_0004	RETAIN_IMMUTABLE	EXTERNAL_PACKET_NOT_MOVED_OR_REWRITTEN_BY_G11
docs/adr/0004-repository-golden-baseline.md	8A867A4E2F600C2D2C7B7843987BF526C260DFD387C73BB2ADF382DC1DA549D4	PHASE_1_AUTHORITY	RETAIN_IMMUTABLE	BYTE_EXACT_AT_STARTING_TREE
docs/orders/WO-GOLDEN-G1.md	A81730B2163CBD296F8DED8B500E55733F46028E68E5BBD7948541A02F0FCBD9	ACCEPTED_FLOOR	RETAIN_IMMUTABLE	BYTE_EXACT_AT_STARTING_TREE
docs/orders/WO-GOLDEN-G10.md	01F7A2F60EDF7DA4589E7AF8F8FE6A866A1C83B158FDA261292D69CF14865676	ACCEPTED_FLOOR	RETAIN_IMMUTABLE	BYTE_EXACT_AT_STARTING_TREE
docs/orders/WO-GOLDEN-G2.md	BD69149FBE636495580DD8DD2EC2A3E1922A658482A24F3CC943A6DF1E796CFA	ACCEPTED_FLOOR	RETAIN_IMMUTABLE	BYTE_EXACT_AT_STARTING_TREE
docs/orders/WO-GOLDEN-G3.md	D5FE6463BB639AFBE108CDD9CEB7CECD4A9DC5F943E314A146A1ABB02FB0051B	ACCEPTED_FLOOR	RETAIN_IMMUTABLE	BYTE_EXACT_AT_STARTING_TREE
docs/orders/WO-GOLDEN-G4.md	0976DD83A68FF15E9390B0EAFFFF0F74F9E4B0D4C55FABF95AACD01F9AB6CD34	ACCEPTED_FLOOR	RETAIN_IMMUTABLE	BYTE_EXACT_AT_STARTING_TREE
docs/orders/WO-GOLDEN-G5.md	E0627B8BBAF9F60148290BD226D66D87CA83A7FD5706B2DF91F1D6A026A3C183	ACCEPTED_FLOOR	RETAIN_IMMUTABLE	BYTE_EXACT_AT_STARTING_TREE
docs/orders/WO-GOLDEN-G6.md	C27AA3B2F55D7D4C455C1C38B5E87E0245A64E59D16E7F77E0FBD235A2C5723C	ACCEPTED_FLOOR	RETAIN_IMMUTABLE	BYTE_EXACT_AT_STARTING_TREE
docs/orders/WO-GOLDEN-G7.md	388832B5DC577B138B4FE7D26CBBA6DBCA7AF65FA85DD24016CD728B57A2952A	ACCEPTED_FLOOR	RETAIN_IMMUTABLE	BYTE_EXACT_AT_STARTING_TREE
docs/orders/WO-GOLDEN-G8.md	C6E1AF9CF300D189564D02AB25EF83C0EF858D0812C3F97809B4BCAC985AF64B	ACCEPTED_FLOOR	RETAIN_IMMUTABLE	BYTE_EXACT_AT_STARTING_TREE
docs/orders/WO-GOLDEN-G9.md	094EAF2A21A172DAF97C575D254940DD94AA38D13987E279D0521C572C175405	ACCEPTED_FLOOR	RETAIN_IMMUTABLE	BYTE_EXACT_AT_STARTING_TREE
docs/orders/WO-R18-GROUND.md	D4062C886FEE96674482B2527AF371530A1DA4D5876FCFF99A24EB5AAF4CEA54	R18	RETAIN_IMMUTABLE	BYTE_EXACT_AT_STARTING_TREE
docs/orders/evidence/golden-baseline/g1/AFTER.md	5D4CF87580C4B1F53E70CFE635D64906B39DFEEACF31D35AC029C6B3DB651821	G1_G10	RETAIN_IMMUTABLE	BYTE_EXACT_AT_STARTING_TREE
docs/orders/evidence/golden-baseline/g1/BEFORE.md	3C33380246DFB8D024928B85C598A5279129880B479EB569B4D97BB2AF448F9E	G1_G10	RETAIN_IMMUTABLE	BYTE_EXACT_AT_STARTING_TREE
docs/orders/evidence/golden-baseline/g1/COMMANDS.tsv	F046D7D2422986A5B6267FFC1ECB1EDE7C904A9E8DDEE773FA00D10252DE3547	G1_G10	RETAIN_IMMUTABLE	BYTE_EXACT_AT_STARTING_TREE
docs/orders/evidence/golden-baseline/g1/EVIDENCE-ADJUDICATION.md	2F2CABBB36CCB1532AAC214867F3E89A1054F68411FCBC24276C165AB6437C53	G1_G10	RETAIN_IMMUTABLE	BYTE_EXACT_AT_STARTING_TREE
docs/orders/evidence/golden-baseline/g1/GROUP-ACCEPTANCE.md	F0FA0AF8BA25AD35A45103F0F7D8F2C996C4F239D92E2D8EEE56698722D49CAB	G1_G10	RETAIN_IMMUTABLE	BYTE_EXACT_AT_STARTING_TREE
docs/orders/evidence/golden-baseline/g1/READER-ACCEPTANCE.md	0DD968C061471324AE7BD5D96E21366433092529B25C9FE0E7D30C25A453F8C2	G1_G10	RETAIN_IMMUTABLE	BYTE_EXACT_AT_STARTING_TREE
docs/orders/evidence/golden-baseline/g1/READER-ROUND-1.md	F961A8B8B4541FBE8F8FF8CACFD2A42569768B84CBD69709600C64896864FB24	G1_G10	RETAIN_IMMUTABLE	BYTE_EXACT_AT_STARTING_TREE
docs/orders/evidence/golden-baseline/g1/READER-ROUND-2.md	8485444DEDEAB43837E9AB31F6EA1543E0423F56735455C7FBF51EB6ED85061F	G1_G10	RETAIN_IMMUTABLE	BYTE_EXACT_AT_STARTING_TREE
docs/orders/evidence/golden-baseline/g1/VERIFIER-ACCEPTANCE.md	F71720F9DB8D1CEB4383F358B0F8E9AB73ADD92F2DA0D28FD711910B0125BD55	G1_G10	RETAIN_IMMUTABLE	BYTE_EXACT_AT_STARTING_TREE
